ticket,time,author,field,oldvalue,newvalue
3,13:06:02-06:00,wcampbel,comment,1,WSC to load content into Copath.
5,13:20:22-06:00,wcampbel,type,defect,task
5,13:20:22-06:00,wcampbel,reporter,wcampbel,jpedersen
5,13:20:22-06:00,wcampbel,comment,1,
5,09:46:24-06:00,jpedersen,comment,2,"Investigating the use of an open-source JAVA program to load an OWL file into NEO4J.

https://github.com/flekschas/owl2neo4j

Another possibility is the apache JENA package, also java-based, which works with ontologies and appears to be able to create graph structures from ontology definitions.

https://jena.apache.org/documentation/ontology/

"
7,12:15:43-06:00,campbell,status,new,assigned
7,12:15:43-06:00,campbell,owner,wcampbel,campbell
7,12:15:43-06:00,campbell,comment,1,
9,12:27:32-06:00,campbell,comment,1,"Analysis of content and organization new metadata rxnorm_unmc_jgp
RXNORM 29823 
(includes 6258 not in 2015 metadata mostly active concepts)
(3745 under VA and not ATC; 2554 under ATC and NOT VA)
(of RXNORM records in use at Nebraska, 874 under VA and NOT ATC; 281 under ATC and not VA
NDC 453729 
(includes 76938 not in current metadata)
(5709 under ATC and NOT VA; 23042 under VA and NOT ATC) 
(of NDC records in use at Nebraska, 1041 under VA and NOT ATC; 73 under ATC and NOT VA)

UNMC metadata current
RXNORM 27279 (includes 3714 not in new metadata apparently retired) 
NDC 382361  (includes 5570 not in new metadata)
"
4,12:29:39-06:00,campbell,status,new,assigned
4,12:29:39-06:00,campbell,owner,wcampbel,campbell
4,12:29:39-06:00,campbell,comment,1,"2/18/17 SNOMED CT content modeled completely, work filed in updated BOX folder"
2,12:31:23-06:00,campbell,comment,1,2/18/17 Revisions to 2 Observables to maintain consistency within SNOMED CT 
9,12:48:03-06:00,campbell,comment,2,"2/19/17
TO Jeff Klann,
We are nearly complete occur within th on an expanded i2b2 metadata for dugs which has a (nearly) complete history of RXNORM and NDC.  I want to deploy your medication modifiers but we are going to need to support some additional elements to support all of our use cases.  In particular, your modifiers identify RX_BASIS of dispensing and prescribing.  I suggest we need to cover administration events as well.  Dispense events may be from a pharmacy external to the institution, or occur within the inpatient (hospital) pharmacy for patients in-house.  Prescriptions are generally descriptive of orders to the external pharmacies but I notice that you add a subtype which appears to be the in-clinic order to the nurse for administration.  

I assume that you link the order detail of frequency, days supply, quantity and refills to the RX_basis fact via the instance_num? 

I can suggest extensions to your modifier set for the additional use cases but I need your direction as to how we can cover these other use cases not necessarily required for CDMV3.
Jim
"
5,11:11:28-06:00,wcampbel,comment,3,Jay completed import of 'ISA' relationships using the OWL format.  Will work on refining import scripts to address other relationships using OWL API and Neo4j
9,11:15:51-06:00,wcampbel,cc,,"campbell, wcampbel"
9,11:15:51-06:00,wcampbel,milestone,,Metadata
9,11:15:51-06:00,wcampbel,comment,3,"RxNorm metadata creation procedures and algorithms.  Added new drug hierarchy (VA) to metadata creation.  Code all documented in i2b2 WIKI.

Historical NDC codes present, but historical RxNorm codes to be added.  

What is best strategy for RxNorm temporality."
3,11:19:28-06:00,wcampbel,comment,2,"JRC completed SNOMED CT for Melanoma.  Submitted to LOINC with revisions.

WSC to load into Copath.
JGP to load new codes into NE CARES this week.  WSC and JGP to discuss plan."
4,11:21:45-06:00,wcampbel,comment,2,JRC completed SNOMED CT encoding.  WSC to review with pathology and develop Copath rendition.
