id,Summary,Description,Status,Priority,Milestone,Component,Version,Resolution,Created,Modified,Due Date,Reporter,Keywords
1,Colorectal Cancer Terminology Publication,"Development of publication materials for NLM
-Cross ref old SCTIDs and New SCTIDs
-Update CAP protocol worksheets",closed,major,Terminology Development,BD2K software development,,duplicate,"Feb 13, 2017, 1:02:54 PM","Feb 20, 2017, 11:53:36 AM",,wcampbel,
2,Breast Cancer Terminology Publication,Finalize Breast Cancer Observable material for UMLS publication.,closed,major,Terminology Development,BD2K software development,,duplicate,"Feb 13, 2017, 1:04:31 PM","Feb 20, 2017, 11:54:03 AM",,wcampbel,
3,Melanoma biopsy and resection Terminology,Publication of Melanoma content,closed,major,Terminology Development,BD2K software development,,fixed,"Feb 13, 2017, 1:05:35 PM","Dec 18, 2017, 4:00:30 PM",,wcampbel,
4,Lung Cancer Worksheet,Development of Lung Cancer Content and publications,assigned,major,Terminology Development,BD2K software development,,,"Feb 13, 2017, 1:06:45 PM","Oct 23, 2017, 11:36:51 AM",,wcampbel,
5,Load Gene Ontology into Protege,Load and classify GO in Neo4j for review,closed,major,Terminology Development,BD2K software development,,wontfix,"Feb 13, 2017, 1:07:52 PM","Feb 5, 2018, 11:58:40 AM",,jpedersen,
6,NE BD2K Content Website Development,"Spec out, develop and publish NE BD2K content website for UMLS links, content distribution, knowledge sharing",assigned,major,Terminology Development,BD2K software development,,,"Feb 13, 2017, 1:09:04 PM","May 15, 2017, 11:34:34 AM",,wcampbel,
7,Evaluate OMIM linkages,Evaluation of OMIM linkages with GO and developed observables,assigned,major,Terminology Development,BD2K software development,,,"Feb 13, 2017, 1:21:31 PM","Feb 19, 2017, 12:15:43 PM",,campbell,
8,Bind Uniprot to GO and SNOMED CT,Bind Uniprot with GO and SNOMED CT in graphDB,new,major,Terminology Development,BD2K software development,,,"Feb 13, 2017, 1:22:17 PM","Feb 13, 2017, 1:22:17 PM",,campbell,
9,"Develop procedures and protocols for i2b2 metadata: RXNORM, SNOMED CT, LOINC",Duplicates PCORI #387 and related,assigned,critical,Metadata,BD2K software development,,,"Feb 19, 2017, 12:24:35 PM","Feb 5, 2018, 11:27:57 AM",,campbell,
10,NLM Publication of Terminology of Colorectal and Breast Cancer,Publication of Colorectal and Breast Cancer observable and value sets per CAP worksheets,closed,minor,Terminology Development,BD2K software development,,fixed,"Feb 20, 2017, 11:24:32 AM","Jul 31, 2017, 11:41:40 AM",,wcampbel,
